Country,2025 GFN (% GDP),2026 GFN (% GDP),2027 GFN (% GDP),2028 GFN (% GDP),Critical Year,GFN Driver
Ghana,18.2,22.4,19.8,21.2,2026,Eurobond maturities + IMF exit
Sri Lanka,15.8,18.5,16.2,17.8,2026,Post-restructuring implementation
Zambia,14.2,17.5,15.8,16.5,2026,Restructuring completion
Pakistan,21.5,28.2,25.4,24.8,2026,Eurobond maturities + current account
Kenya,16.8,14.2,13.5,15.2,2025,Eurobond maturity ($2bn)
Egypt,22.4,25.8,23.5,24.2,2026,Large external maturities
Nigeria,12.5,14.2,13.8,14.5,2026,Local currency roll-over
Benchmark (Safe Level),<15,<15,<15,<15,-,Sustainable threshold
Crisis Threshold,>20,>20,>20,>20,-,Refinancing stress zone
Source: IMF DSA, World Bank, CEDX Calculations
