Country,2024,2025,2026,2027,2028,Risk Level,Threshold Crossed
Ghana,38.5%,42.8%,48.2%,45.5%,44.2%,CRITICAL,>30% (2024-2028)
Sri Lanka,52.4%,45.2%,42.8%,40.5%,38.2%,HIGH,>30% (post-restructuring)
Zambia,45.2%,38.5%,35.2%,33.8%,32.5%,HIGH,>30% (declining post-restructuring)
Pakistan,48.5%,52.2%,58.4%,55.2%,52.8%,CRITICAL,>30% (sustained high)
Kenya,32.5%,35.8%,32.2%,30.5%,29.8%,ELEVATED,>25% (approaching safe)
Egypt,42.5%,45.2%,48.5%,46.2%,45.8%,HIGH,>30% (sustained)
Nigeria,28.2%,30.5%,32.4%,31.8%,30.2%,ELEVATED,>25% (borderline)
Politically Explosive Threshold,25%,25%,25%,25%,25%,-,-
Crisis Threshold,30%,30%,30%,30%,30%,-,-
Note: Ratios above 25-30% considered "politically explosive" - crowd out essential spending
Source: IMF DSA, Ministry of Finance data, CEDX Analysis
